source_path,counting_rule,static_test_count
ugreenhome-shared/feature-third-party-services/src/commonTest/kotlin/com/ugreen/feature/thirdpartyservices/ThirdPartyServiceLinkStatusTest.kt,Kotlin @Test,4
ugreenhome-shared/feature-third-party-services/src/commonTest/kotlin/com/ugreen/feature/thirdpartyservices/AlexaProactiveAuthorizationSessionCoordinatorTest.kt,Kotlin @Test,5
ugreenhome-shared/feature-third-party-services/src/commonTest/kotlin/com/ugreen/feature/thirdpartyservices/ThirdPartyServicesBackNavigationTest.kt,Kotlin @Test,2
ugreenhome-shared/feature-third-party-services/src/commonTest/kotlin/com/ugreen/feature/thirdpartyservices/ThirdPartyServiceLinkViewModelTest.kt,Kotlin @Test,11
ugreenhome-shared/feature-third-party-services/src/commonTest/kotlin/com/ugreen/feature/thirdpartyservices/ThirdPartyServicesHostRouterTest.kt,Kotlin @Test,1
ugreenhome-shared/feature-third-party-services/src/commonTest/kotlin/com/ugreen/feature/thirdpartyservices/ThirdPartyDeepLinkCoordinatorTest.kt,Kotlin @Test,9
ugreenhome-shared/feature-third-party-services/src/commonTest/kotlin/com/ugreen/feature/thirdpartyservices/ThirdPartyServiceDeepLinkTest.kt,Kotlin @Test,5
ugreenhome-shared/feature-third-party-services/src/commonTest/kotlin/com/ugreen/feature/thirdpartyservices/ThirdPartyServiceLinkRepositoryTest.kt,Kotlin @Test,3
ugreenhome-shared/feature-home-management/src/commonTest/kotlin/com/ugreen/feature/home/management/data/InMemoryHomeManagementRepositoryTest.kt,Kotlin @Test,2
ugreenhome-shared/feature-home-management/src/commonTest/kotlin/com/ugreen/feature/home/management/domain/HomeLocationDisplayNameTest.kt,Kotlin @Test,5
ugreenhome-shared/feature-home-management/src/commonTest/kotlin/com/ugreen/feature/home/management/domain/HomeManagementNameValidatorTest.kt,Kotlin @Test,7
ugreenhome-shared/core/core-navigation/src/commonTest/kotlin/com/ugreen/core/navigation/FakeAppNavigator.kt,Kotlin @Test,0
ugreenhome-shared/core/core-navigation/src/commonTest/kotlin/com/ugreen/core/navigation/AppNavigatorTest.kt,Kotlin @Test,2
